isbn,likes,rating,title,user_id,user_name
0399562451,4,4,Still Me,22348925,Anahí ✨
0399562451,4,3,Still Me,1962503,Blodeuedd Finland
0399562451,6,5,Still Me,62005366,__girl_in_wonderland_
0399562451,5,4,Still Me,4845136,Ramona
0399562451,5,4,Still Me,17834354,Marina
0399562451,4,4,Still Me,43448534,Hannah Bierwirth
0399562451,4,4,Still Me,5867389,Librariasaurus
0399562451,4,5,Still Me,3627659,Rebecca Jo
0399562451,4,4,Still Me,55503284,Jalila
0399562451,4,4,Still Me,1765656,Jenny
0399562451,4,4,Still Me,11762552,Marjolein Zoet
0399562451,5,4,Still Me,16909720,Abby
0399562451,4,4,Still Me,13173482,Amanda
0399562451,4,4,Still Me,48583426,Joha car
0399562451,4,2,Still Me,16412589,Carol (Reading Ladies)
0399562451,4,4,Still Me,5904374,Sue
0399562451,4,4,Still Me,4437204,gem
0399562451,4,4,Still Me,63716613,Rachael Cavinder
0399562451,4,4,Still Me,17989838,Aimee
0399562451,4,5,Still Me,52207451,Elnaz PLV
0399562451,4,3,Still Me,2332541,Shannon Singleton
0399562451,4,5,Still Me,8841763,Nikki
0399562451,4,5,Still Me,67585088,Manuela Gonzalez Bird
0399562451,4,4,Still Me,61058515,Joanna Weatherbie-Clements
0399562451,5,5,Still Me,36402164,Kristin Davison
0399562451,4,4,Still Me,54600412,Leer En el Sur
0399562451,4,4,Still Me,38509178,Cathy D
0399562451,4,3,Still Me,17121175,Fatima
0399562451,5,5,Still Me,90705153,Alexandra Floarea
0399562451,4,4,Still Me,31468388,Sabina (Whatsername_reads)
0399562451,4,5,Still Me,10344700,Dora
0399562451,4,4,Still Me,9625380,Kalyne
0399562451,4,4,Still Me,43657905,Nanette Buccola
0399562451,4,5,Still Me,25586626,Bianca
0399562451,4,5,Still Me,44698064,Ntombezinhle Nzama
0399562451,4,5,Still Me,26652749,Jennifer Jimenez
0399562451,4,5,Still Me,38110517,Savannah Slone
0399562451,4,5,Still Me,7373175,Fabulous Book Fiend
0399562451,5,5,Still Me,16907451,Erin Clemence
0399562451,4,4,Still Me,4676630,Steffi
0399562451,4,2,Still Me,30256868,Andrea
0399562451,6,4,Still Me,1746727,Arlene
0399562451,4,5,Still Me,5933698,Love
0399562451,4,5,Still Me,1923329,Jessica
0399562451,4,5,Still Me,4725799,Dana
0399562451,4,3,Still Me,1883816,Barbara
0399562451,4,3,Still Me,1544522,Linda Lipko
0399562451,4,4,Still Me,9501896,Jen
0399562451,4,1,Still Me,47198430,Vish
0399562451,4,4,Still Me,16744,Azita Rassi
0399562451,4,2,Still Me,10644660,Ashley
0399562451,4,4,Still Me,12691311,Debbie
0399562451,4,2,Still Me,15924807,Minty McBunny
0399562451,4,5,Still Me,29868756,Katie Bananas
0399562451,5,4,Still Me,71306758,Danielle
0399562451,4,5,Still Me,17592393,Eileen Goudge
