,author,mean_rating,num_ratings,num_reviews,title,url
342,Brian K. Vaughan,4.45,"19,359 ratings","2,098 reviews","Saga, Vol. 8",https://www.goodreads.com/book/show/34963526-saga-vol-8?from_choice=true
343,G. Willow Wilson,4.18,"2,907 ratings",349 reviews,"Ms. Marvel, Vol. 8: Mecca",https://www.goodreads.com/book/show/34849019-ms-marvel-vol-8?from_choice=true
344,Jen Wang,4.45,"18,938 ratings","4,399 reviews",The Prince and the Dressmaker,https://www.goodreads.com/book/show/34506912-the-prince-and-the-dressmaker?from_choice=true
345,Brian K. Vaughan,4.17,"6,800 ratings",709 reviews,"Paper Girls, Vol. 4",https://www.goodreads.com/book/show/35989512-paper-girls-vol-4?from_choice=true
346,Clint McElroy,4.32,"10,560 ratings","1,235 reviews",The Adventure Zone: Here There Be Gerblins,https://www.goodreads.com/book/show/35684941-the-adventure-zone?from_choice=true
347,Pénélope Bagieu,4.53,"3,415 ratings",772 reviews,Brazen: Rebel Ladies Who Rocked the World,https://www.goodreads.com/book/show/34506937-brazen?from_choice=true
348,C.S. Pacat,4.05,"3,656 ratings",727 reviews,"Fence, Volume 1",https://www.goodreads.com/book/show/36373825-fence-volume-1?from_choice=true
349,Mari Andrew,3.99,"4,462 ratings",453 reviews,"Am I There Yet? The Loop-de-Loop, Zigzagging Journey to Adulthood",https://www.goodreads.com/book/show/35758072-am-i-there-yet-the-loop-de-loop-zigzagging-journey-to-adulthood?from_choice=true
350,Vera Brosgol,3.97,"7,134 ratings","1,055 reviews",Be Prepared,https://www.goodreads.com/book/show/30623067-be-prepared?from_choice=true
351,Tee Franklin,3.91,"4,703 ratings","1,057 reviews",Bingo Love,https://www.goodreads.com/book/show/36963204-bingo-love?from_choice=true
352,Marissa Meyer,4.23,"8,113 ratings","1,385 reviews",Gone Rogue,https://www.goodreads.com/book/show/34930815-gone-rogue?from_choice=true
353,Ngozi Ukazu,4.47,"5,218 ratings","1,284 reviews","Check, Please!: #Hockey, Vol. 1",https://www.goodreads.com/book/show/37534577-check-please?from_choice=true
354,Nick Drnaso,3.83,"7,475 ratings","1,187 reviews",Sabrina,https://www.goodreads.com/book/show/37533587-sabrina?from_choice=true
355,Kieron Gillen,4.07,"3,026 ratings",364 reviews,"The Wicked + The Divine, Vol. 6: Imperial Phase, Part 2",https://www.goodreads.com/book/show/35651693-the-wicked-the-divine-vol-6?from_choice=true
356,Marjorie M. Liu,4.27,"4,458 ratings",635 reviews,"Monstress, Vol. 3: Haven",https://www.goodreads.com/book/show/37491890-monstress-vol-3?from_choice=true
357,Jarrett J. Krosoczka,4.13,"12,193 ratings","1,629 reviews","Hey, Kiddo",https://www.goodreads.com/book/show/37822649-hey-kiddo?from_choice=true
358,Jeff Lemire,4.36,"1,990 ratings",225 reviews,"Black Hammer, Vol. 2: The Event",https://www.goodreads.com/book/show/34954925-black-hammer-vol-2?from_choice=true
359,Saladin Ahmed,3.94,"1,044 ratings",205 reviews,"Black Bolt, Vol. 1: Hard Time",https://www.goodreads.com/book/show/34849021-black-bolt-vol-1?from_choice=true
360,Amanda Lovelace,3.84,"14,470 ratings","2,623 reviews",The Witch Doesn't Burn in This One,https://www.goodreads.com/book/show/35924698-the-witch-doesn-t-burn-in-this-one?from_choice=true
361,Elizabeth Acevedo,4.45,"22,625 ratings","5,319 reviews",The Poet X,https://www.goodreads.com/book/show/35396841-the-poet-x?from_choice=true
362,Florence Welch,4.23,"3,538 ratings",392 reviews,Useless Magic: Lyrics and Poetry,https://www.goodreads.com/book/show/38255339-useless-magic?from_choice=true
363,Atticus Poetry,4.06,"3,696 ratings",428 reviews,The Dark Between Stars,https://www.goodreads.com/book/show/38926449-the-dark-between-stars?from_choice=true
364,Alice Walker,3.94,399 ratings,88 reviews,Taking the Arrow Out of the Heart,https://www.goodreads.com/book/show/38532187-taking-the-arrow-out-of-the-heart?from_choice=true
365,Kwame Alexander,4.27,"6,298 ratings",902 reviews,Rebound,https://www.goodreads.com/book/show/35999004-rebound?from_choice=true
366,Fatimah Asghar,4.30,"2,153 ratings",354 reviews,If They Come for Us,https://www.goodreads.com/book/show/36477795-if-they-come-for-us?from_choice=true
367,Andrea Gibson,3.93,"2,005 ratings",293 reviews,Take Me with You,https://www.goodreads.com/book/show/35260128-take-me-with-you?from_choice=true
368,Lang Leav,3.84,"4,370 ratings",547 reviews,Sea of Strangers,https://www.goodreads.com/book/show/36100966-sea-of-strangers?from_choice=true
369,R.H. Sin,3.83,"2,617 ratings",296 reviews,She Felt Like Feeling Nothing,https://www.goodreads.com/book/show/36456129-she-felt-like-feeling-nothing?from_choice=true
370,Rudy Francisco,4.39,"3,254 ratings",576 reviews,Helium,https://www.goodreads.com/book/show/34594981-helium?from_choice=true
371,Jason Reynolds,4.25,"5,575 ratings","1,181 reviews",For Every One,https://www.goodreads.com/book/show/35297455-for-every-one?from_choice=true
372,Tracy K. Smith,4.12,"1,306 ratings",238 reviews,Wade in the Water,https://www.goodreads.com/book/show/35782247-wade-in-the-water?from_choice=true
373,Neil Hilborn,4.22,754 ratings,112 reviews,The Future,https://www.goodreads.com/book/show/36479694-the-future?from_choice=true
374,Brittainy C. Cherry,4.03,717 ratings,198 reviews,A Love Letter from the Girls Who Feel Everything,https://www.goodreads.com/book/show/41241311-a-love-letter-from-the-girls-who-feel-everything?from_choice=true
375,Cleo Wade,4.20,"2,262 ratings",254 reviews,Heart Talk: Poetic Wisdom for a Better Life,https://www.goodreads.com/book/show/36036176-heart-talk?from_choice=true
376,Terrance Hayes,4.31,"1,212 ratings",184 reviews,American Sonnets for My Past and Future Assassin,https://www.goodreads.com/book/show/36479356-american-sonnets-for-my-past-and-future-assassin?from_choice=true
377,Joy McCullough,4.11,"4,036 ratings",939 reviews,Blood Water Paint,https://www.goodreads.com/book/show/35540804-blood-water-paint?from_choice=true
378,Leonard Cohen,4.08,933 ratings,170 reviews,The Flame,https://www.goodreads.com/book/show/37941942-the-flame?from_choice=true
379,Kevin Young,4.09,314 ratings,56 reviews,Brown: Poems,https://www.goodreads.com/book/show/35356376-brown?from_choice=true
380,Amanda Lovelace,3.84,"14,470 ratings","2,623 reviews",The Witch Doesn't Burn in This One,https://www.goodreads.com/book/show/35924698-the-witch-doesn-t-burn-in-this-one?from_choice=true
381,Elizabeth Acevedo,4.45,"22,625 ratings","5,319 reviews",The Poet X,https://www.goodreads.com/book/show/35396841-the-poet-x?from_choice=true
382,Florence Welch,4.23,"3,538 ratings",392 reviews,Useless Magic: Lyrics and Poetry,https://www.goodreads.com/book/show/38255339-useless-magic?from_choice=true
383,Atticus Poetry,4.06,"3,696 ratings",428 reviews,The Dark Between Stars,https://www.goodreads.com/book/show/38926449-the-dark-between-stars?from_choice=true
384,Alice Walker,3.94,399 ratings,88 reviews,Taking the Arrow Out of the Heart,https://www.goodreads.com/book/show/38532187-taking-the-arrow-out-of-the-heart?from_choice=true
385,Kwame Alexander,4.27,"6,298 ratings",902 reviews,Rebound,https://www.goodreads.com/book/show/35999004-rebound?from_choice=true
386,Fatimah Asghar,4.30,"2,153 ratings",354 reviews,If They Come for Us,https://www.goodreads.com/book/show/36477795-if-they-come-for-us?from_choice=true
387,Andrea Gibson,3.93,"2,005 ratings",293 reviews,Take Me with You,https://www.goodreads.com/book/show/35260128-take-me-with-you?from_choice=true
388,Lang Leav,3.84,"4,370 ratings",547 reviews,Sea of Strangers,https://www.goodreads.com/book/show/36100966-sea-of-strangers?from_choice=true
389,R.H. Sin,3.83,"2,617 ratings",296 reviews,She Felt Like Feeling Nothing,https://www.goodreads.com/book/show/36456129-she-felt-like-feeling-nothing?from_choice=true
390,Rudy Francisco,4.39,"3,254 ratings",576 reviews,Helium,https://www.goodreads.com/book/show/34594981-helium?from_choice=true
391,Jason Reynolds,4.25,"5,575 ratings","1,181 reviews",For Every One,https://www.goodreads.com/book/show/35297455-for-every-one?from_choice=true
392,Tracy K. Smith,4.12,"1,306 ratings",238 reviews,Wade in the Water,https://www.goodreads.com/book/show/35782247-wade-in-the-water?from_choice=true
393,Neil Hilborn,4.22,754 ratings,112 reviews,The Future,https://www.goodreads.com/book/show/36479694-the-future?from_choice=true
394,Brittainy C. Cherry,4.03,717 ratings,198 reviews,A Love Letter from the Girls Who Feel Everything,https://www.goodreads.com/book/show/41241311-a-love-letter-from-the-girls-who-feel-everything?from_choice=true
395,Cleo Wade,4.20,"2,262 ratings",254 reviews,Heart Talk: Poetic Wisdom for a Better Life,https://www.goodreads.com/book/show/36036176-heart-talk?from_choice=true
396,Terrance Hayes,4.31,"1,212 ratings",184 reviews,American Sonnets for My Past and Future Assassin,https://www.goodreads.com/book/show/36479356-american-sonnets-for-my-past-and-future-assassin?from_choice=true
397,Joy McCullough,4.11,"4,036 ratings",939 reviews,Blood Water Paint,https://www.goodreads.com/book/show/35540804-blood-water-paint?from_choice=true
398,Leonard Cohen,4.08,933 ratings,170 reviews,The Flame,https://www.goodreads.com/book/show/37941942-the-flame?from_choice=true
399,Kevin Young,4.09,314 ratings,56 reviews,Brown: Poems,https://www.goodreads.com/book/show/35356376-brown?from_choice=true
400,Tomi Adeyemi,4.20,"81,894 ratings","15,947 reviews",Children of Blood and Bone,https://www.goodreads.com/book/show/34728667-children-of-blood-and-bone?from_choice=true
401,A.J. Finn,3.94,"241,949 ratings","27,072 reviews",The Woman in the Window,https://www.goodreads.com/book/show/34848682-the-woman-in-the-window?from_choice=true
402,Heather Morris,4.28,"169,696 ratings","15,456 reviews",The Tattooist of Auschwitz,https://www.goodreads.com/book/show/37486222-the-tattooist-of-auschwitz?from_choice=true
403,Helen Hoang,3.92,"63,738 ratings","11,063 reviews",The Kiss Quotient,https://www.goodreads.com/book/show/36577586-the-kiss-quotient?from_choice=true
404,Alexandra Christo,3.98,"26,858 ratings","6,064 reviews",To Kill a Kingdom,https://www.goodreads.com/book/show/34499221-to-kill-a-kingdom?from_choice=true
405,Tommy Orange,4.02,"44,194 ratings","6,825 reviews",There There,https://www.goodreads.com/book/show/36692478-there-there?from_choice=true
406,R.F. Kuang,4.01,"17,049 ratings","3,664 reviews",The Poppy War,https://www.goodreads.com/book/show/35887181-the-poppy-war?from_choice=true
407,Emily X.R. Pan,4.15,"11,915 ratings","2,821 reviews",The Astonishing Color of After,https://www.goodreads.com/book/show/35604686-the-astonishing-color-of-after?from_choice=true
408,Catherine Steadman,3.63,"54,131 ratings","6,485 reviews",Something in the Water,https://www.goodreads.com/book/show/36388243-something-in-the-water?from_choice=true
409,C.J. Tudor,3.71,"39,088 ratings","6,188 reviews",The Chalk Man,https://www.goodreads.com/book/show/35356382-the-chalk-man?from_choice=true
410,Hank Green,4.06,"32,051 ratings","6,205 reviews",An Absolutely Remarkable Thing,https://www.goodreads.com/book/show/38186611-an-absolutely-remarkable-thing?from_choice=true
411,Fatima Farheen Mirza,4.15,"23,000 ratings","3,833 reviews",A Place for Us,https://www.goodreads.com/book/show/36840397-a-place-for-us?from_choice=true
412,Zeyn Joukhadar,3.89,"5,548 ratings","1,057 reviews",The Map of Salt and Stars,https://www.goodreads.com/book/show/36373417-the-map-of-salt-and-stars?from_choice=true
413,Stuart Turton,3.96,"43,389 ratings","8,960 reviews",The 7½ Deaths of Evelyn Hardcastle,https://www.goodreads.com/book/show/36337550-the-7-deaths-of-evelyn-hardcastle?from_choice=true
414,Adrienne Young,4.03,"15,774 ratings","3,850 reviews",Sky in the Deep,https://www.goodreads.com/book/show/34726469-sky-in-the-deep?from_choice=true
415,Shobha Rao,3.79,"11,763 ratings","1,882 reviews",Girls Burn Brighter,https://www.goodreads.com/book/show/34275212-girls-burn-brighter?from_choice=true
416,Mira T. Lee,3.93,"10,039 ratings","1,453 reviews",Everything Here Is Beautiful,https://www.goodreads.com/book/show/34262106-everything-here-is-beautiful?from_choice=true
417,Ingrid Rojas Contreras,3.95,"6,478 ratings",989 reviews,Fruit of the Drunken Tree,https://www.goodreads.com/book/show/36636727-fruit-of-the-drunken-tree?from_choice=true
418,C.L. Polk,3.90,"3,585 ratings",814 reviews,Witchmark,https://www.goodreads.com/book/show/36187116-witchmark?from_choice=true
419,Jack Carr,4.20,"3,043 ratings",430 reviews,The Terminal List,https://www.goodreads.com/book/show/35297106-the-terminal-list?from_choice=true
420,Becky Albertalli,3.95,"38,684 ratings","7,491 reviews",Leah on the Offbeat,https://www.goodreads.com/book/show/31180248-leah-on-the-offbeat?from_choice=true
421,Courtney Summers,4.22,"26,265 ratings","7,418 reviews",Sadie,https://www.goodreads.com/book/show/34810320-sadie?from_choice=true
422,Becky Albertalli,4.00,"30,600 ratings","6,700 reviews",What If It's Us,https://www.goodreads.com/book/show/36341204-what-if-it-s-us?from_choice=true
423,Jamie McGuire,3.93,"8,447 ratings","1,390 reviews",All the Little Lights,https://www.goodreads.com/book/show/36987719-all-the-little-lights?from_choice=true
424,Mackenzi Lee,4.16,"12,543 ratings","2,841 reviews",The Lady's Guide to Petticoats and Piracy,https://www.goodreads.com/book/show/37880094-the-lady-s-guide-to-petticoats-and-piracy?from_choice=true
425,Emily X.R. Pan,4.15,"11,915 ratings","2,821 reviews",The Astonishing Color of After,https://www.goodreads.com/book/show/35604686-the-astonishing-color-of-after?from_choice=true
426,Morgan Matson,3.81,"14,075 ratings","2,937 reviews",Save the Date,https://www.goodreads.com/book/show/32333338-save-the-date?from_choice=true
427,Maureen Johnson,4.05,"20,260 ratings","4,450 reviews",Truly Devious,https://www.goodreads.com/book/show/29589074-truly-devious?from_choice=true
428,Julie Murphy,4.05,"9,411 ratings","1,530 reviews",Puddin',https://www.goodreads.com/book/show/35887533-puddin?from_choice=true
429,Mary H.K. Choi,3.75,"14,831 ratings","3,148 reviews",Emergency Contact,https://www.goodreads.com/book/show/35297272-emergency-contact?from_choice=true
430,Kasie West,3.81,"11,300 ratings","2,156 reviews","Love, Life, and the List",https://www.goodreads.com/book/show/35520012-love-life-and-the-list?from_choice=true
431,Claire Kann,3.83,"4,207 ratings","1,283 reviews",Let's Talk About Love,https://www.goodreads.com/book/show/31625048-let-s-talk-about-love?from_choice=true
432,Jenn Bennett,4.04,"7,837 ratings","1,620 reviews",Starry Eyes,https://www.goodreads.com/book/show/35297469-starry-eyes?from_choice=true
433,Kara Thomas,3.81,"8,203 ratings","1,619 reviews",The Cheerleaders,https://www.goodreads.com/book/show/30969755-the-cheerleaders?from_choice=true
434,Brittany Cavallaro,4.03,"5,341 ratings",832 reviews,The Case for Jamie,https://www.goodreads.com/book/show/33810737-the-case-for-jamie?from_choice=true
435,Samira Ahmed,3.83,"8,180 ratings","1,932 reviews","Love, Hate & Other Filters",https://www.goodreads.com/book/show/31207017-love-hate-other-filters?from_choice=true
436,Tahereh Mafi,4.29,"13,803 ratings","3,410 reviews",A Very Large Expanse of Sea,https://www.goodreads.com/book/show/38720939-a-very-large-expanse-of-sea?from_choice=true
437,Jay Coles,3.89,"2,882 ratings",772 reviews,Tyler Johnson Was Here,https://www.goodreads.com/book/show/35604682-tyler-johnson-was-here?from_choice=true
438,Alice Oseman,4.23,"3,188 ratings",905 reviews,I Was Born for This,https://www.goodreads.com/book/show/34325090-i-was-born-for-this?from_choice=true
439,Sarina Bowen,4.10,"2,642 ratings",500 reviews,The Accidentals,https://www.goodreads.com/book/show/40239755-the-accidentals?from_choice=true
440,Sarah J. Maas,4.63,"69,641 ratings","10,716 reviews",Kingdom of Ash,https://www.goodreads.com/book/show/33590260-kingdom-of-ash?from_choice=true
441,Tomi Adeyemi,4.20,"81,894 ratings","15,947 reviews",Children of Blood and Bone,https://www.goodreads.com/book/show/34728667-children-of-blood-and-bone?from_choice=true
442,Holly Black,4.17,"93,325 ratings","16,457 reviews",The Cruel Prince,https://www.goodreads.com/book/show/26032825-the-cruel-prince?from_choice=true
443,Victoria Aveyard,3.87,"42,251 ratings","5,417 reviews",War Storm,https://www.goodreads.com/book/show/27188596-war-storm?from_choice=true
444,Sarah J. Maas,3.91,"79,969 ratings","10,869 reviews",A Court of Frost and Starlight,https://www.goodreads.com/book/show/31076583-a-court-of-frost-and-starlight?from_choice=true
445,Amie Kaufman,4.56,"22,868 ratings","5,702 reviews",Obsidio,https://www.goodreads.com/book/show/24909347-obsidio?from_choice=true
446,Neal Shusterman,4.52,"31,716 ratings","6,076 reviews",Thunderhead,https://www.goodreads.com/book/show/33555224-thunderhead?from_choice=true
447,Tahereh Mafi,4.25,"22,805 ratings","4,943 reviews",Restore Me,https://www.goodreads.com/book/show/34992929-restore-me?from_choice=true
448,Sabaa Tahir,4.25,"23,893 ratings","3,754 reviews",A Reaper at the Gates,https://www.goodreads.com/book/show/30809786-a-reaper-at-the-gates?from_choice=true
449,Marie Lu,4.00,"18,536 ratings","3,439 reviews",Wildcard,https://www.goodreads.com/book/show/29386918-wildcard?from_choice=true
450,Dhonielle Clayton,3.87,"13,411 ratings","3,651 reviews",The Belles,https://www.goodreads.com/book/show/23197837-the-belles?from_choice=true
451,Justina Ireland,4.16,"12,064 ratings","2,903 reviews",Dread Nation,https://www.goodreads.com/book/show/30223025-dread-nation?from_choice=true
452,Veronica Roth,3.93,"13,506 ratings","1,483 reviews",The Fates Divide,https://www.goodreads.com/book/show/35820633-the-fates-divide?from_choice=true
453,Adrienne Young,4.03,"15,774 ratings","3,850 reviews",Sky in the Deep,https://www.goodreads.com/book/show/34726469-sky-in-the-deep?from_choice=true
454,Laini Taylor,4.50,"20,726 ratings","4,319 reviews",Muse of Nightmares,https://www.goodreads.com/book/show/25446343-muse-of-nightmares?from_choice=true
455,Brandon Sanderson,4.55,"27,311 ratings","4,436 reviews",Skyward,https://www.goodreads.com/book/show/39348113-skyward?from_choice=true
456,Melissa Albert,3.60,"35,292 ratings","7,372 reviews",The Hazel Wood,https://www.goodreads.com/book/show/34275232-the-hazel-wood?from_choice=true
457,Stephanie Garber,4.26,"28,706 ratings","5,398 reviews",Legendary,https://www.goodreads.com/book/show/36329818-legendary?from_choice=true
458,Jay Kristoff,4.07,"4,958 ratings","1,594 reviews",Lifel1k3,https://www.goodreads.com/book/show/29456569-lifel1k3?from_choice=true
459,Susan Dennard,4.04,"3,397 ratings",734 reviews,Sightwitch,https://www.goodreads.com/book/show/35495083-sightwitch?from_choice=true
460,Rick Riordan,4.37,"21,835 ratings","2,817 reviews",The Burning Maze,https://www.goodreads.com/book/show/28006096-the-burning-maze?from_choice=true
461,Victoria Schwab,3.95,"17,586 ratings","3,886 reviews",City of Ghosts,https://www.goodreads.com/book/show/35403058-city-of-ghosts?from_choice=true
462,Neil Patrick Harris,3.91,"5,920 ratings","1,028 reviews",The Magic Misfits,https://www.goodreads.com/book/show/33784323-the-magic-misfits?from_choice=true
463,Roshani Chokshi,4.10,"7,473 ratings","1,746 reviews",Aru Shah and the End of Time,https://www.goodreads.com/book/show/36222611-aru-shah-and-the-end-of-time?from_choice=true
464,Aisha Saeed,4.23,"6,065 ratings","1,163 reviews",Amal Unbound,https://www.goodreads.com/book/show/36086513-amal-unbound?from_choice=true
465,Jewell Parker Rhodes,4.36,"6,707 ratings","1,357 reviews",Ghost Boys,https://www.goodreads.com/book/show/35959634-ghost-boys?from_choice=true
466,Jeanne Birdsall,4.09,"2,985 ratings",655 reviews,The Penderwicks at Last,https://www.goodreads.com/book/show/36644148-the-penderwicks-at-last?from_choice=true
467,Robert Beatty,4.24,"2,424 ratings",617 reviews,Willa of the Wood,https://www.goodreads.com/book/show/36546966-willa-of-the-wood?from_choice=true
468,Stacy McAnulty,4.26,"3,330 ratings",664 reviews,The Miscalculations of Lightning Girl,https://www.goodreads.com/book/show/33004208-the-miscalculations-of-lightning-girl?from_choice=true
469,Wendy Mass,4.08,"4,354 ratings","1,067 reviews",Bob,https://www.goodreads.com/book/show/36443315-bob?from_choice=true
470,Kelly Yang,4.39,"5,121 ratings","1,148 reviews",Front Desk,https://www.goodreads.com/book/show/36127488-front-desk?from_choice=true
471,Jason Reynolds,4.08,"3,186 ratings",675 reviews,Sunny,https://www.goodreads.com/book/show/35297562-sunny?from_choice=true
472,Erin Entrada Kelly,3.78,"2,694 ratings",435 reviews,You Go First,https://www.goodreads.com/book/show/35068526-you-go-first?from_choice=true
473,Veera Hiranandani,4.20,"3,869 ratings",849 reviews,The Night Diary,https://www.goodreads.com/book/show/35464020-the-night-diary?from_choice=true
474,Sayantani DasGupta,3.85,"2,095 ratings",495 reviews,The Serpent's Secret,https://www.goodreads.com/book/show/32618983-the-serpent-s-secret?from_choice=true
475,Kate DiCamillo,4.33,"4,806 ratings","1,140 reviews",Louisiana's Way Home,https://www.goodreads.com/book/show/39217633-louisiana-s-way-home?from_choice=true
476,Holly Black,4.06,"4,565 ratings",604 reviews,The Golden Tower,https://www.goodreads.com/book/show/37822631-the-golden-tower?from_choice=true
477,Brandon Mull,4.42,"1,973 ratings",317 reviews,Wrath of the Dragon King,https://www.goodreads.com/book/show/38903002-wrath-of-the-dragon-king?from_choice=true
478,Katherine Arden,4.02,"3,482 ratings",889 reviews,Small Spaces,https://www.goodreads.com/book/show/36959639-small-spaces?from_choice=true
479,Amy Makechnie,4.10,337 ratings,114 reviews,The Unforgettable Guinevere St. Clair,https://www.goodreads.com/book/show/36373280-the-unforgettable-guinevere-st-clair?from_choice=true
480,Rick Riordan,4.37,"21,835 ratings","2,817 reviews",The Burning Maze,https://www.goodreads.com/book/show/28006096-the-burning-maze?from_choice=true
481,Victoria Schwab,3.95,"17,586 ratings","3,886 reviews",City of Ghosts,https://www.goodreads.com/book/show/35403058-city-of-ghosts?from_choice=true
482,Neil Patrick Harris,3.91,"5,920 ratings","1,028 reviews",The Magic Misfits,https://www.goodreads.com/book/show/33784323-the-magic-misfits?from_choice=true
483,Roshani Chokshi,4.10,"7,473 ratings","1,746 reviews",Aru Shah and the End of Time,https://www.goodreads.com/book/show/36222611-aru-shah-and-the-end-of-time?from_choice=true
484,Aisha Saeed,4.23,"6,065 ratings","1,163 reviews",Amal Unbound,https://www.goodreads.com/book/show/36086513-amal-unbound?from_choice=true
485,Jewell Parker Rhodes,4.36,"6,707 ratings","1,357 reviews",Ghost Boys,https://www.goodreads.com/book/show/35959634-ghost-boys?from_choice=true
486,Jeanne Birdsall,4.09,"2,985 ratings",655 reviews,The Penderwicks at Last,https://www.goodreads.com/book/show/36644148-the-penderwicks-at-last?from_choice=true
487,Robert Beatty,4.24,"2,424 ratings",617 reviews,Willa of the Wood,https://www.goodreads.com/book/show/36546966-willa-of-the-wood?from_choice=true
488,Stacy McAnulty,4.26,"3,330 ratings",664 reviews,The Miscalculations of Lightning Girl,https://www.goodreads.com/book/show/33004208-the-miscalculations-of-lightning-girl?from_choice=true
489,Wendy Mass,4.08,"4,354 ratings","1,067 reviews",Bob,https://www.goodreads.com/book/show/36443315-bob?from_choice=true
490,Kelly Yang,4.39,"5,121 ratings","1,148 reviews",Front Desk,https://www.goodreads.com/book/show/36127488-front-desk?from_choice=true
491,Jason Reynolds,4.08,"3,186 ratings",675 reviews,Sunny,https://www.goodreads.com/book/show/35297562-sunny?from_choice=true
492,Erin Entrada Kelly,3.78,"2,694 ratings",435 reviews,You Go First,https://www.goodreads.com/book/show/35068526-you-go-first?from_choice=true
493,Veera Hiranandani,4.20,"3,869 ratings",849 reviews,The Night Diary,https://www.goodreads.com/book/show/35464020-the-night-diary?from_choice=true
494,Sayantani DasGupta,3.85,"2,095 ratings",495 reviews,The Serpent's Secret,https://www.goodreads.com/book/show/32618983-the-serpent-s-secret?from_choice=true
495,Kate DiCamillo,4.33,"4,806 ratings","1,140 reviews",Louisiana's Way Home,https://www.goodreads.com/book/show/39217633-louisiana-s-way-home?from_choice=true
496,Holly Black,4.06,"4,565 ratings",604 reviews,The Golden Tower,https://www.goodreads.com/book/show/37822631-the-golden-tower?from_choice=true
497,Brandon Mull,4.42,"1,973 ratings",317 reviews,Wrath of the Dragon King,https://www.goodreads.com/book/show/38903002-wrath-of-the-dragon-king?from_choice=true
498,Katherine Arden,4.02,"3,482 ratings",889 reviews,Small Spaces,https://www.goodreads.com/book/show/36959639-small-spaces?from_choice=true
499,Amy Makechnie,4.10,337 ratings,114 reviews,The Unforgettable Guinevere St. Clair,https://www.goodreads.com/book/show/36373280-the-unforgettable-guinevere-st-clair?from_choice=true
500,Grace Byers,4.20,"2,483 ratings",418 reviews,I Am Enough,https://www.goodreads.com/book/show/35396839-i-am-enough?from_choice=true
501,Jill Twiss,4.74,"10,890 ratings","1,941 reviews",A Day in the Life of Marlon Bundo,https://www.goodreads.com/book/show/39319247-a-day-in-the-life-of-marlon-bundo?from_choice=true
502,Vashti Harrison,4.59,"1,723 ratings",385 reviews,Little Leaders: Bold Women in Black History,https://www.goodreads.com/book/show/35488059-little-leaders?from_choice=true
503,Ryan T. Higgins,4.51,"3,481 ratings",818 reviews,We Don't Eat Our Classmates,https://www.goodreads.com/book/show/36341954-we-don-t-eat-our-classmates?from_choice=true
504,Marianna Coppo,3.97,"1,837 ratings",314 reviews,Petra,https://www.goodreads.com/book/show/35138182-petra?from_choice=true
505,Cori Doerrfeld,4.44,"2,568 ratings",571 reviews,The Rabbit Listened,https://www.goodreads.com/book/show/35248504-the-rabbit-listened?from_choice=true
506,Sophie Blackall,4.36,"2,616 ratings",715 reviews,Hello Lighthouse,https://www.goodreads.com/book/show/35580105-hello-lighthouse?from_choice=true
507,Terry Fan,4.25,"2,163 ratings",483 reviews,Ocean Meets Sky,https://www.goodreads.com/book/show/36373562-ocean-meets-sky?from_choice=true
508,Matt de la Pena,4.26,"3,787 ratings",731 reviews,Love,https://www.goodreads.com/book/show/35356379-love?from_choice=true
509,Jessica Love,4.45,"3,440 ratings",788 reviews,Julián Is a Mermaid,https://www.goodreads.com/book/show/26532714-juli-n-is-a-mermaid?from_choice=true
510,Peter H. Reynolds,4.27,"2,363 ratings",398 reviews,The Word Collector,https://www.goodreads.com/book/show/35566693-the-word-collector?from_choice=true
511,Brian Selznick,3.91,"3,035 ratings",675 reviews,"Baby Monkey, Private Eye",https://www.goodreads.com/book/show/35182933-baby-monkey-private-eye?from_choice=true
512,Minh Lê,4.35,"3,103 ratings",631 reviews,Drawn Together,https://www.goodreads.com/book/show/34791219-drawn-together?from_choice=true
513,Junot Díaz,4.46,"2,433 ratings",574 reviews,Islandborn,https://www.goodreads.com/book/show/35631757-islandborn?from_choice=true
514,Jason Flom,4.04,237 ratings,75 reviews,Lulu is a Rhinoceros,https://www.goodreads.com/book/show/40524608-lulu-is-a-rhinoceros?from_choice=true
515,Jacqueline Woodson,4.53,"2,939 ratings",650 reviews,The Day You Begin,https://www.goodreads.com/book/show/37506301-the-day-you-begin?from_choice=true
516,Daniel Haack,4.40,"1,211 ratings",329 reviews,Prince & Knight,https://www.goodreads.com/book/show/34204247-prince-knight?from_choice=true
517,Jillian Tamaki,3.83,"1,510 ratings",384 reviews,They Say Blue,https://www.goodreads.com/book/show/35833840-they-say-blue?from_choice=true
518,Matt Haig,4.31,"1,454 ratings",209 reviews,The Truth Pixie,https://www.goodreads.com/book/show/41443051-the-truth-pixie?from_choice=true
519,Jen Campbell,4.11,294 ratings,54 reviews,Franklin and Luna Go to the Moon,https://www.goodreads.com/book/show/38495981-franklin-and-luna-go-to-the-moon?from_choice=true
