,author,mean_rating,num_ratings,num_reviews,title,url
60,Madeline Miller,4.31,"125,129 ratings","17,176 reviews",Circe,https://www.goodreads.com/book/show/35959740-circe?from_choice=true
61,Guillermo del Toro,3.93,"10,630 ratings","1,627 reviews",The Shape of Water,https://www.goodreads.com/book/show/36521316-the-shape-of-water?from_choice=true
62,Naomi Novik,4.28,"36,601 ratings","6,603 reviews",Spinning Silver,https://www.goodreads.com/book/show/37168303-spinning-silver?from_choice=true
63,Nora Roberts,4.05,"42,223 ratings","4,678 reviews",Year One,https://www.goodreads.com/book/show/34311452-year-one?from_choice=true
64,Ilona Andrews,4.42,"14,854 ratings","1,888 reviews",Iron and Magic,https://www.goodreads.com/book/show/35126152-iron-and-magic?from_choice=true
65,R.F. Kuang,4.01,"17,049 ratings","3,664 reviews",The Poppy War,https://www.goodreads.com/book/show/35887181-the-poppy-war?from_choice=true
66,Seanan McGuire,4.00,"14,272 ratings","2,902 reviews",Beneath the Sugar Sky,https://www.goodreads.com/book/show/27366528-beneath-the-sugar-sky?from_choice=true
67,Karen Marie Moning,4.33,"9,608 ratings","1,283 reviews",High Voltage,https://www.goodreads.com/book/show/35457273-high-voltage?from_choice=true
68,Patricia Briggs,4.28,"15,347 ratings","1,736 reviews",Burn Bright,https://www.goodreads.com/book/show/35839437-burn-bright?from_choice=true
69,Mark Lawrence,4.45,"12,837 ratings","1,267 reviews",Grey Sister,https://www.goodreads.com/book/show/35710709-grey-sister?from_choice=true
70,Peng Shepherd,3.71,"7,599 ratings","1,552 reviews",The Book of M,https://www.goodreads.com/book/show/36204070-the-book-of-m?from_choice=true
71,Katherine Arden,4.41,"29,837 ratings","4,403 reviews",The Girl in the Tower,https://www.goodreads.com/book/show/34050917-the-girl-in-the-tower?from_choice=true
72,Michael J. Sullivan,4.45,"6,708 ratings",620 reviews,Age of War,https://www.goodreads.com/book/show/35342928-age-of-war?from_choice=true
73,Aleron Kong,4.58,"6,407 ratings",676 reviews,The Land: Predators,https://www.goodreads.com/book/show/40629159-the-land?from_choice=true
74,Deborah Harkness,3.88,"17,579 ratings","2,110 reviews",Time's Convert,https://www.goodreads.com/book/show/38395454-time-s-convert?from_choice=true
75,Ilona Andrews,4.58,"15,206 ratings","1,955 reviews",Magic Triumphs,https://www.goodreads.com/book/show/17333180-magic-triumphs?from_choice=true
76,Josiah Bancroft,4.21,"9,487 ratings","1,559 reviews",Senlin Ascends,https://www.goodreads.com/book/show/35271523-senlin-ascends?from_choice=true
77,Brian McClellan,4.55,"4,519 ratings",329 reviews,Wrath of Empire,https://www.goodreads.com/book/show/28811018-wrath-of-empire?from_choice=true
78,Robert Jackson Bennett,4.29,"8,583 ratings","1,569 reviews",Foundryside,https://www.goodreads.com/book/show/37007781-foundryside?from_choice=true
79,Nicholas Eames,4.29,"5,177 ratings",855 reviews,Bloody Rose,https://www.goodreads.com/book/show/35052265-bloody-rose?from_choice=true
80,Madeline Miller,4.31,"125,140 ratings","17,176 reviews",Circe,https://www.goodreads.com/book/show/35959740-circe?from_choice=true
81,Guillermo del Toro,3.93,"10,630 ratings","1,627 reviews",The Shape of Water,https://www.goodreads.com/book/show/36521316-the-shape-of-water?from_choice=true
82,Naomi Novik,4.28,"36,601 ratings","6,603 reviews",Spinning Silver,https://www.goodreads.com/book/show/37168303-spinning-silver?from_choice=true
83,Nora Roberts,4.05,"42,223 ratings","4,678 reviews",Year One,https://www.goodreads.com/book/show/34311452-year-one?from_choice=true
84,Ilona Andrews,4.42,"14,854 ratings","1,888 reviews",Iron and Magic,https://www.goodreads.com/book/show/35126152-iron-and-magic?from_choice=true
85,R.F. Kuang,4.01,"17,049 ratings","3,664 reviews",The Poppy War,https://www.goodreads.com/book/show/35887181-the-poppy-war?from_choice=true
86,Seanan McGuire,4.00,"14,272 ratings","2,902 reviews",Beneath the Sugar Sky,https://www.goodreads.com/book/show/27366528-beneath-the-sugar-sky?from_choice=true
87,Karen Marie Moning,4.33,"9,608 ratings","1,283 reviews",High Voltage,https://www.goodreads.com/book/show/35457273-high-voltage?from_choice=true
88,Patricia Briggs,4.28,"15,347 ratings","1,736 reviews",Burn Bright,https://www.goodreads.com/book/show/35839437-burn-bright?from_choice=true
89,Mark Lawrence,4.45,"12,837 ratings","1,267 reviews",Grey Sister,https://www.goodreads.com/book/show/35710709-grey-sister?from_choice=true
90,Peng Shepherd,3.71,"7,599 ratings","1,552 reviews",The Book of M,https://www.goodreads.com/book/show/36204070-the-book-of-m?from_choice=true
91,Katherine Arden,4.41,"29,837 ratings","4,403 reviews",The Girl in the Tower,https://www.goodreads.com/book/show/34050917-the-girl-in-the-tower?from_choice=true
92,Michael J. Sullivan,4.45,"6,708 ratings",620 reviews,Age of War,https://www.goodreads.com/book/show/35342928-age-of-war?from_choice=true
93,Aleron Kong,4.58,"6,407 ratings",676 reviews,The Land: Predators,https://www.goodreads.com/book/show/40629159-the-land?from_choice=true
94,Deborah Harkness,3.88,"17,579 ratings","2,110 reviews",Time's Convert,https://www.goodreads.com/book/show/38395454-time-s-convert?from_choice=true
95,Ilona Andrews,4.58,"15,206 ratings","1,955 reviews",Magic Triumphs,https://www.goodreads.com/book/show/17333180-magic-triumphs?from_choice=true
